STT	Từ vựng	Nghĩa
1	가게	Cửa hàng, cửa tiệm
2	가격	Giá cả
3	가구	Dụng cụ gia đình
4	가방	Cặp, túi xách
5	가수	Ca sỹ
6	가슴	Ngực
7	가요	Nhạc dân ca
8	가운데	Giữa
9	가위	Kéo
10	가을	Mùa thu
11	가족	Gia đình
12	가지	Loại
13	간식	Đồ ăn nhẹ
14	간장	Xì dầu
15	간호사	Y tá
16	갈비	Sườn
17	갈비탕	Canh sườn
18	갈색	Màu nâu
19	감	Cảm nhận, cảm giác
20	감기	Cảm cúm
21	감동	Cảm động
22	감자	Khoai tây
23	값	Giá cả
24	강	Sông
25	강아지	Chó con
26	개	Cái, quả
27	개	Con chó
28	개나리	Hoa mai 
29	개월	Tháng (đếm số tháng)
30	개인	Cá nhân
31	거	Thứ, cái
32	거리	Khoảng cách, đường
33	거실	Phòng khách
34	거울	Gương
35	거짓말	Lời nói dối
36	건너편	Phía đối diện
37	건물	Tòa nhà
38	검은색	Màu đen
39	것	Thứ
40	게임	Trò chơi
41	겨울	Mùa đông
42	결과	Kết quả
43	결혼식	Lễ kết hôn
44	경기	Trận thi đấu
45	경기장	Sân vận động
46	경복궁	Gyeongbokgung
47	경주	Gyeongju
48	경찰	Cảnh sát
49	경찰관	Cảnh sát
50	경찰서	Đồn cảnh sát
