STT	Từ vựng	Nghĩa
1	가게	Cửa hàng, cửa tiệm
2	가격	Giá cả
3	가구	Dụng cụ gia đình
4	가방	Cặp, túi xách
5	가수	Ca sỹ
6	가슴	Ngực
7	가요	Nhạc dân ca
8	가운데	Giữa
9	가위	Kéo
10	가을	Mùa thu
11	가족	Gia đình
12	가지	Loại
13	간식	Đồ ăn nhẹ
14	간장	Xì dầu
15	간호사	Y tá
16	갈비	Sườn
17	갈비탕	Canh sườn
18	갈색	Màu nâu
19	감	Cảm nhận, cảm giác
20	감기	Cảm cúm
21	감동	Cảm động
22	감자	Khoai tây
23	값	Giá cả
24	강	Sông
25	강아지	Chó con
26	개	Cái, quả
27	개	Con chó
28	개나리	Hoa mai 
29	개월	Tháng (đếm số tháng)
30	개인	Cá nhân
31	거	Thứ, cái
32	거리	Khoảng cách, đường
33	거실	Phòng khách
34	거울	Gương
35	거짓말	Lời nói dối
36	건너편	Phía đối diện
37	건물	Tòa nhà
38	검은색	Màu đen
39	것	Thứ
40	게임	Trò chơi
41	겨울	Mùa đông
42	결과	Kết quả
43	결혼식	Lễ kết hôn
44	경기	Trận thi đấu
45	경기장	Sân vận động
46	경복궁	Gyeongbokgung
47	경주	Gyeongju
48	경찰	Cảnh sát
49	경찰관	Cảnh sát
50	경찰서	Đồn cảnh sát
51	것	Vật
52	하다	Làm
53	있다	Có
54	나	Tôi
55	없다	Không có
56	사람	Người
57	우리	Chúng tôi, chúng ta
58	아니다	Không là
59	보다	Xem
60	같다	Giống
61	거	Đó, cái đó
62	주다	Cho, đưa cho
63	대하다	Đối mặt
64	가다	Đi
65	년	Năm
66	나라	Đất nước
67	나무	Cây
68	날	Ngày
69	날씨	Thời tiết
70	남산	Namsan
71	내년	Năm sau
72	내용	Nội dung
73	냉면	Mì lạnh
74	냉장고	Tủ lạnh
75	노래	Bài hát
76	누나	Chị gái
77	눈물	Nước mắt
78	느낌	Ấn Tượng
79	다음	Sau
80	다음달	Tháng sau
81	단어	Từ vựng
82	달	Tháng
83	댁 	Nhà
84	도서관	Thư viện
85	동생	Em
86	뒤	Đằng sau
87	드라마	Phim truyền hình
88	등산화	Giày leo núi
89	등산	Leo núi
90	라디오	Đài radio
91	러시아	Nước Nga
92	맞은편	Phía đối diện
93	머리	Đầu
94	모습	Đung mạo, hình dáng
95	모자	Mũ
96	무게	Trọng lượng
97	문	Cửa
98	문구점	Cửa hàng văn phòng phẩm
99	문제	Vấn đề
100	문화	Văn hoá
101	물건	Hàng hoá
102	미국	Nước Mỹ
103	밑	Bên dưới
104	바지	Cái quần
105	박물관	Viện bảo tàng
106	밖	Bên ngoài
107	반 	Lớp, cấp
108	방	Phòng
109	방법	Phương pháp
110	방송국	Đài truyền hình
111	배	Bụng, thuyền
112	배우	Diễn viên
113	백화점	Cửa hàng tạp hoá
114	버스	Xe buýt
115	번호	Số
116	병원	Bệnh viện
117	불펜	Bút bi
118	봄	Mùa xuân
119	부모님	Bố mẹ
120	부분	Bộ phận
121	부탁	Nhờ vả
122	분위기	Bầu không khí
123	불고기	Thịt nướng
124	비	Mưa
125	비행기	Máy bay
126	빵	Bánh mì
127	화면	Màn hình, màn ảnh
128	구입하다	Mua
129	굴리다	Lăn, đảo
130	감소	Sự cắt giảm, sự bớt giảm
131	관람료	Phí tham quan
132	여가 활동	Hoạt động giải trí
133	연습실	Phòng tập
134	관리실	Phòng quản lý
135	공사	Công trình
136	소음	Tiếng ồn
137	집중이 안 되다	Không tập trung được
138	시청자	Khán giả, người xem
139	장면	Cảnh, pha
140	A이/가 B에 어울리다	A hợp với B
141	기대되다	Được mong đợi, được kỳ vọng
142	N에/에게 신경을 쓰다	Quan tâm đến N
143	진료	Chẩn đoán
144	확인되다	Được xác nhận
145	검사	Kiểm tra
146	탈의실	Phòng thay đồ
147	심다	Trồng
148	화분	Chậu hoa, chậu cây
149	베란다	Ban công
150	N(으)로 옮기다	Di chuyển đến N
151	직원 연수	Đào tạo nhân viên
152	확정되다	Được xác định
153	특강	Bài giảng đặc biệt
154	서두르다	Vội vàng, gấp rút
155	강사	giảng viên, người thuyết trình
156	심리학 개론	Tâm lý học đại cương
157	수강 신청	Việc đăng ký học phần, đăng ký môn học
158	N에 만족하다	Hài lòng với
159	주민	Cư dân, dân cư
160	N이/가 설치되다	Được thiết lập, được lắp đặt
161	노래자랑 대회	Đại hội thi hát
162	야시장	Chợ đêm
163	놀이터	Khu vui chơi
164	정전	Sự cúp điện
165	불편을 겪다	Gặp bất tiện
166	차례	Thứ tự, lượt, phiên
167	중단하다	Đình chỉ
168	정밀 검사	Sự kiểm tra  kỹ lưỡng
169	사고가 발생하다	Phát sinh sự cố
170	치료하다	Điều trị, chữa trị
171	병들다	Mắc bệnh
172	살피다	Xem xét, suy xét
173	조사하다	Điều tra
174	주변 환경	Môi trường xung quanh
175	N에 민감하다	Nhạy cảm với…
176	원인	Nguyên nhân
177	개선하다	Cải thiện
178	처방하다	Kê toa, kê đơn thuốc
179	동작	Động tác
180	제대로	Một cách tử tế
181	꾸준히	Điều đặn
182	따라 하다	Làm theo
183	상관없다	Không liên quan, không hề gì, không sao
184	갈등	Sự mâu thuẫn, sự bất đồng
185	분명하다	Rõ ràng
186	상대방	Đối phương
187	입장	Lập trường
188	명함	Danh thiếp
189	특이하다	Đặc biệt
190	인상적이다	Mang tính ấn tượng, có tính ấn tượng
191	기업 행사	Sự kiện của/trong doanh nghiệp
192	기획하다	Lên kế hoạch
193	파악하다	Nắm bắt
194	신제품	Sản phẩm mới
195	홍보	Sự quảng bá
196	연출하다	Tạo ra, làm ra
197	송년회	Tiệc tất niên
198	친목	Sự thân tình
199	참고하다	Tham khảo
200	이용 후기	Hậu kỳ sử dụng
201	적극적	Tích cực
202	남기다	Để lại
203	우선이다	Trước tiên, sự ưu tiên, sự ưu đãi
204	시험장	Địa điểm thi
205	당일	Trong ngày
206	지정하다	Chỉ định
207	재발급	Cấp phát lại
208	요청하다	Yêu cầu, đòi hỏi
209	소방복	Trang phục, quần áo chữa cháy
210	재활용	Việc tái sử dụng
211	전공을 살려 V	Vận dụng chuyên ngành học của mình để…
212	소재	Vật liệu, nguyên liệu
213	관심을 모으다	Thu hút sự quan tâm
214	수익금	Tiền lời, tiền lãi
215	계기가 되다	Trở thành cơ hội
216	근무 환경	Môi trường làm việc
217	희생정신	Tinh thần hi sinh
218	본받다	Noi gương theo
219	보장하다	Bảo đảm
220	육아 휴직	Nghỉ việc tạm thời để nuôi con
221	권장하다	Khuyến khích
222	시각	Góc nhìn, quan điểm
223	하긴 = 사실 말하자면	Nói thực thì, Thực ra thì
224	일깨우다	Đánh thức, làm cho giác ngộ
225	지적하다	Chỉ trích
226	인식	Nhận thức
227	지급되다	Được chi trả, được cấp
228	시행	Dự thi hành
229	구독	Mua sách báo dài hạn
230	이용료	Phí sử dụng
231	해설	Diễn giải, giải thích
232	요약본	Bản tóm tắt
233	음성	Âm thanh
234	전자책	E-book
235	개발하다	Phát triển
236	재학생	Học sinh đang theo học
237	창업	Khởi nghiệp
238	사전 교육	Đào tạo định hướng
239	지원금	Tiền hỗ trợ
240	이르다	Sớm
241	부딪히다	Bị va chạm
242	진정하다 = 올바르다	Đúng đắn
243	연장하다	Gia hạn
244	회의적	Mang tính hoài nghi
245	사례	Ví dụ cụ thể
246	염려하다	Lo ngại, lo lắng
247	일부	Một phần
248	착륙하다	Hạ cánh
249	지면	Mặt đất
250	마찰	Sự ma sát
251	워낙	Rất
252	주입하다	Rót, đổ, truyền vào
253	산소	Khí oxy
254	유도하다	Dẫn dắt, dẫn đến
255	혼합되다	Bị trộn lẫn
256	질소	Nitơ
257	표면	Bề mặt, mặt ngoài
258	마찰열	Ma sát nhiệt
259	미끄러짐	Sự trơn trượt
260	최소화하다	Tối thiểu hóa, thu nhỏ tối đa
261	생성 원리	Nguyên lý hình thành
262	(무늬를) 새기다	Điêu khắc, chạm hoa văn
263	아역 배우	Diễn viên đóng vai trẻ em
264	특유	Sự đặc hữu, sở hữu đặc biệt
265	업적	Thành tích
266	지지	Sự ủng hộ, hậu thuẫn
267	활약하다	Hoạt động tích cực, hoạt động mạnh mẽ
268	데뷔하다	Khởi nghiệp, ra mắt, debut
269	국제 영화제	Liên hoan phim quốc tế
270	교양 프로그램	Chương trình kiến thức đại cương
271	충치	Sâu răng
272	잇몸병	Bệnh liên quan đến nướu
273	차지하다	Giành, chiếm, nắm giữ
274	대수롭다	Quan trọng, đáng giá
275	손상되다	Bị tổn thương, bị tổn hại
276	회복되다	Được hồi phục
277	신체 기관	Cơ quan trong cơ thể
278	악영향을 끼치다	Gây ảnh hưởng xấu
279	치매	Mất trí
280	유발하다	Tạo ra, khơi dậy
281	바로잡다	Chỉnh đốn, chỉnh sửa
282	절반	Một nửa
283	추세	Xu thế, khuynh hướng
284	[병]을 일으키다	Gây bệnh
285	질환	Bệnh tật
286	유출되다	Bị rò rỉ
287	문화재	Di sản văn hóa
288	본국	Nước nhà
289	국제 협약	Hiệp ước quốc tế
290	1990년대 후반	Nửa sau thập niên 1990
291	환수	Sự thu hồi
292	공조	Sự hợp tác, hiệp lực
293	대여	Cho mượn, cho thuê
294	기증	Hiến tặng
295	영구적	Tính vĩnh cửu, vĩnh hằng
296	바람직하다	Đúng đắn
297	일시적	Tính nhất thời
298	담화	Sự đàm thoại, đối thoại
299	민간 주도	Do người dân đóng vai trò chủ đạo, tư nhân
300	협정을 체결하다	Kí kết thỏa thuận, kí kết hiệp định
301	감칠맛	Hương vị, vị ngon
302	식욕을 당기게 하다	Làm tăng cảm giác thèm ăn
303	관심을 쏟다	Đổ dồn sự quan tâm
304	깊은맛	Vị đậm đà
305	유력하다	Có triển vọng
306	거론되다	Được bàn luận, thảo luận
307	숙성	Ủ lên men
308	기본양념	Gia vị cơ bản
309	우러나다	Thấm, ngấm 
310	결합하다	Kết hợp
311	풍미	Hương vị
312	조리	Cách nấu ăn
313	꼬물꼬물	Ngọ nguậy
314	헤엄을 치다	Bơi
315	자궁	Tử cung
316	탯줄	Dây nhau, dây rốn
317	어미	Con cái, con mái
318	수정이 되지 않다	Chưa/không được thụ tinh
319	무정란	Trứng không trống (trứng chưa được thụ tinh)
320	만반	Sẵn sàng, đầy đủ
321	서식	Cư trú, sinh sống
322	유사하다	Tương tự
323	수분	Độ ẩm
324	배출하다	Tiết ra, thải ra
325	발명되다	Được phát minh
326	음악계	Giới âm nhạc
327	환영을 받다	Được chào đón, hoan nghênh
328	주도하다	Chủ đạo, dẫn dắt
329	오케스트라	Dàn nhạc (orchestra)
330	편성	Sự phối âm, phối thanh
331	확립되다	Được xây dựng, xác lập
332	조화를 이루다	Hài hòa
333	튀다	Nổi bật
334	열풍이 불다	Trào lưu đang nổi lên
335	맞아떨어지다	Phù hợp, ăn khớp
336	관능적	Gợi cảm
337	호소력이 짙다	Lôi cuốn
338	합주	Hòa tấu
339	위상	Địa vị
340	대담	Tọa đàm
341	생소하다	Lạ lẫm, mới mẻ
342	조난	Gặp nạn
343	부여하다	Trao, ban
344	표지판	Biển hiệu, biển báo
345	신속하다	Nhanh chóng
346	지방자치단체	Chính quyền địa phương
347	예산	Dự toán, dự trù kinh phí
348	밀접하다	Mật thiết
